HOUSE_MANAGE_NO,HOUSE_TY,LTTOT_TOP_AMOUNT,MODEL_NO,PBLANC_NO,SUPLY_HSHLDCO
2024940166,070.8617A,"41,450",01,2024940166,6
2024940166,070.8318B,"42,040",02,2024940166,3
2024940166,070.9782C,"42,600",03,2024940166,6
2024940165,059.4780A,"31,930",01,2024940165,29
2024940165,059.8850B,"31,240",02,2024940165,35
2024940165,074.4640 ,"39,970",03,2024940165,26
2024940165,084.5640 ,"45,630",04,2024940165,9
2024940163,046.9500 ,"40,280",01,2024940163,2
2024940163,051.9600 ,"44,360",02,2024940163,2
2024940163,059.9700 ,"51,790",03,2024940163,4
2024940162,084.9387A,"124,400",01,2024940162,10
2024940162,084.9826B,"124,400",02,2024940162,9
2024940162,084.9910C,"123,400",03,2024940162,6
2024940162,084.8324D,"123,400",04,2024940162,11
2024940162,084.9959E,"123,400",05,2024940162,4
2024940161,064.1439 ,"78,500",01,2024940161,5
2024940160,050.9584A,"57,900",01,2024940160,21
2024940160,059.9975A,"63,300",02,2024940160,1
2024940159,084.9501B,"56,300",01,2024940159,5
2024940159,084.9339D,"56,200",02,2024940159,3
2024940159,099.8366A,"67,500",03,2024940159,16
2024940159,099.9238B,"64,800",04,2024940159,25
2024940157,037.7425 ,"37,280",01,2024940157,2
2024940156,059.8723A,"35,900",01,2024940156,4
2024940155,030.1316A,"68,090",01,2024940155,5
2024940155,033.2328C,"71,300",02,2024940155,6
2024940155,038.1851B,"68,480",03,2024940155,6
2024940155,043.3253D,"87,490",04,2024940155,6
2024940154,059.9759A,"147,200",01,2024940154,9
2024940154,059.8256B,"147,100",02,2024940154,16
2024940154,084.9994A,"194,900",03,2024940154,5
2024940154,084.9869B,"187,200",04,2024940154,10
2024940153,059.8790A,"38,900",01,2024940153,11
2024940153,059.9892B,"36,800",02,2024940153,3
2024940153,059.9738C,"39,300",03,2024940153,2
2024940153,074.9976 ,"48,400",04,2024940153,3
2024940153,084.9718B,"54,500",05,2024940153,10
2024940152,059.9968A,"42,900",01,2024940152,41
2024940152,059.9194B,"42,200",02,2024940152,9
2024940151,084.9721A,"16,300",01,2024940151,468
2024940151,084.9012B,"16,300",02,2024940151,145
2024940150,064.6780 ,"128,743",01,2024940150,4
2024940150,073.7846 ,"138,955",02,2024940150,5
2024940149,045.8562 ,"31,034",01,2024940149,14
2024940149,059.9378 ,"40,766",02,2024940149,35
2024940148,084.9500A,"170,000",01,2024940148,4
2024940148,084.9900B,"165,000",02,2024940148,1
2024940147,084.9825B,"62,980",01,2024940147,28
2024940146,036.6756A,"53,800",01,2024940146,1
2024940146,048.3293A,"71,000",02,2024940146,2
2024940146,048.3293B,"71,300",03,2024940146,13
2024940146,048.3293C,"71,300",04,2024940146,1
2024940145,079.7400B,"43,800",01,2024940145,25
2024940144,069.7058A,"38,500",01,2024940144,17
2024940144,069.8860B,"39,180",02,2024940144,2
2024940144,084.9607A,"46,130",03,2024940144,11
2024940144,084.9105B,"47,630",04,2024940144,30
2024940144,084.9633C,"46,140",05,2024940144,23
2024940144,084.8914D,"46,140",06,2024940144,15
2024940143,077.0312 ,"67,160",01,2024940143,2
2024940143,084.5611A,"70,240",02,2024940143,2
2024940143,084.8589B,"69,700",03,2024940143,2
2024940143,084.9517C,"71,820",04,2024940143,2
2024940142,084.9986A,"47,950",01,2024940142,11
2024940142,084.9974B,"48,630",02,2024940142,4
2024940142,099.9051A,"56,190",03,2024940142,2
2024940142,099.9951B,"56,850",04,2024940142,2
2024940141,074.1702 ,"54,900",01,2024940141,2
2024940141,084.8078 ,"62,700",02,2024940141,12
2024940141,126.9861P,"115,000",03,2024940141,1
2024940140,068.1609A,"42,420",01,2024940140,2
2024940140,071.5717A,"44,240",02,2024940140,7
2024940140,075.7081A,"47,230",03,2024940140,22
2024940139,084.8671A,"47,800",01,2024940139,2
2024940139,084.9882B,"48,500",02,2024940139,2
2024940138,039.3760 ,"50,500",01,2024940138,6
2024940138,047.6768 ,"58,050",02,2024940138,3
2024940138,070.0856 ,"88,700",03,2024940138,12
2024940138,081.8998 ,"102,320",04,2024940138,8
2024940137,059.1860 ,"95,900",01,2024940137,3
2024940137,059.3753 ,"95,500",02,2024940137,5
2024940137,059.7948 ,"91,200",03,2024940137,2
2024940137,074.4160 ,"115,700",04,2024940137,1
2024940135,059.9986A,"36,081",01,2024940135,9
2024940135,059.9959B,"36,078",02,2024940135,9
2024940133,050.9584A,"57,900",01,2024940133,36
2024940133,059.9975A,"65,900",02,2024940133,2
2024940132,037.3483 ,"44,600",01,2024940132,1
2024940132,042.5476A,"54,000",02,2024940132,5
2024940132,042.1014B,"52,500",03,2024940132,16
2024940132,042.1500C,"52,300",04,2024940132,3
2024940131,074.7630D,"92,249",01,2024940131,1
2024940131,084.7200A,"110,935",02,2024940131,5
2024940130,059.8951 ,"83,650",01,2024940130,10
2024940130,078.8636A,"107,220",02,2024940130,17
2024940130,078.2765B,"107,060",03,2024940130,20
2024940130,084.9514A,"121,860",04,2024940130,18
2024940130,084.8923B,"122,000",05,2024940130,28
2024940129,074.9966A,"56,620",01,2024940129,3
2024940129,074.9909B,"57,360",02,2024940129,2
2024940129,084.9634A,"60,960",03,2024940129,2
2024940129,084.9390B,"60,430",04,2024940129,3
2024940128,053.1680 ,"76,936",01,2024940128,3
2024940128,059.2760A,"85,700",02,2024940128,3
2024940128,059.1730B,"86,454",03,2024940128,3
2024940128,074.5540A,"102,101",04,2024940128,9
2024940128,074.6060B,"106,058",05,2024940128,3
2024940127,084.9720A,"57,270",01,2024940127,3
2024940127,084.8924B,"58,230",02,2024940127,3
2024940127,084.8641C,"56,830",03,2024940127,2
2024940127,084.8440D,"58,860",04,2024940127,7
2024940126,059.9300A,"22,300",01,2024940126,3
2024940126,059.9100B,"22,520",02,2024940126,5
2024940126,059.9200C,"21,850",03,2024940126,1
2024940126,059.9300D,"22,530",04,2024940126,2
2024940125,059.9759A,"147,200",01,2024940125,11
2024940125,059.8256B,"147,100",02,2024940125,22
2024940125,084.9994A,"194,900",03,2024940125,8
2024940125,084.9869B,"187,200",04,2024940125,19
2024940124,084.9404A,"59,500",01,2024940124,5
2024940123,084.9700A,"107,000",01,2024940123,1
2024940123,084.9700C,"108,000",02,2024940123,2
2024940123,084.9700D,"138,000",03,2024940123,1
2024940122,084.9845 ,"63,956",01,2024940122,19
2024940121,036.6756A,"53,800",01,2024940121,1
2024940121,048.3293A,"71,000",02,2024940121,2
2024940121,048.3293B,"71,300",03,2024940121,13
2024940121,048.3293C,"71,300",04,2024940121,1
2024940120,034.0130F,"72,760",01,2024940120,4
2024940120,042.0690D,"98,560",02,2024940120,10
2024940120,042.0690E,"100,530",03,2024940120,4
2024940120,043.6060C,"104,030",04,2024940120,5
2024940120,046.2430A,"110,540",05,2024940120,13
2024940120,046.2430B,"110,540",06,2024940120,10
2024940119,030.1316A,"69,770",01,2024940119,8
2024940119,033.2328C,"71,500",02,2024940119,8
2024940119,038.1851B,"68,480",03,2024940119,7
2024940119,043.3253D,"87,490",04,2024940119,6
2024940118,078.9789A,"76,979",01,2024940118,6
2024940118,083.1810A,"79,146",02,2024940118,5
2024940118,084.6020A,"81,485",03,2024940118,19
2024940117,049.9900A,"39,730",01,2024940117,4
2024940117,049.9900B,"42,210",02,2024940117,10
