BSNS_MBY_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,GNRL_RCEPT_BGNDE,GNRL_RCEPT_ENDDE,HMPG_ADRES,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,MDHS_TELNO,MVN_PREARNGE_YM,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,RCRIT_PBLANC_DE,SPSPLY_RCEPT_BGNDE,SPSPLY_RCEPT_ENDDE,SUBSCRPT_RCEPT_BGNDE,SUBSCRPT_RCEPT_ENDDE,TOT_SUPLY_HSHLDCO
홍은제13구역주택재개발정비사업조합,2025-01-11,2025-01-11,,,https://www.i-park.com/seodaemun,2024910230,서대문 센트럴 아이파크(임의공급 8차),04,무순위/잔여세대,서울특별시 서대문구 홍은동 11-111번지 일원,03602,15519217,202506,2024910230,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910230&pblancNo=2024910230,2025-01-10,2025-01-02,,,2025-01-07,2025-01-07,15
코리아신탁(주),2025-01-13,2025-01-13,,,https://www.에비뉴청계.com/,2024910231,에비뉴 청계 II(6차),04,무순위/잔여세대,서울특별시 종로구 숭인동 1420,03116,15444461,202505,2024910231,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910231&pblancNo=2024910231,2025-01-09,2024-12-31,,,2025-01-06,2025-01-06,32
신영부동산신탁 주식회사,2025-01-16,2025-01-16,,,https://www.jeil-gs.co.kr,2024910229,곤지암역 제일풍경채,04,무순위/잔여세대,경기도 광주시 곤지암읍 곤지암리636번지(곤지암역세권  A1-1블록),12801,15771299,202708,2024910229,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910229&pblancNo=2024910229,2025-01-09,2024-12-30,,,2025-01-06,2025-01-06,49
(주)남동타운피에프브이,2025-01-04,2025-01-04,,,https://www.prugio.com/hb/2024/onecluster/main/,2024910228,용인 푸르지오 원클러스터 1단지(임의공급 3차),04,무순위/잔여세대,경기도 용인시 처인구 남동 산126-13일원(A1BL),17147,0312829996,202708,2024910228,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910228&pblancNo=2024910228,2025-01-03,2024-12-24,,,2024-12-30,2024-12-30,14
주식회사 하나자산신탁,2025-01-04,2025-01-04,,,https://www.prugio.com/ht/2024/geomdan/,2024910227,검단신도시 푸르지오 더 파크(임의공급 1차),04,무순위/잔여세대,인천광역시 서구 검단신도시 AA28BL(마전동),22642,16682060,202712,2024910227,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910227&pblancNo=2024910227,2025-01-03,2024-12-23,,,2024-12-30,2024-12-30,40
송도센트럴1지구 지역주택조합,2025-01-09,2025-01-09,,,http://www.송도하늘채아이비원.com,2024910222,송도 하늘채 아이비원(임의공급3차),04,무순위/잔여세대,인천광역시 연수구 송도동 20-4번지 외 7필지,22001,0328339994,202504,2024910222,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910222&pblancNo=2024910222,2025-01-02,2024-12-20,,,2024-12-26,2024-12-27,56
코리아신탁(주),2024-12-28,2024-12-29,,,http://www.양우내안애퍼스티지.com/,2024910226,연신내 양우내안애 퍼스티지(임의공급 1차),04,무순위/잔여세대,서울특별시 은평구 갈현동 467-1 번지 일대,03336,15513477,202803,2024910226,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910226&pblancNo=2024910226,2024-12-27,2024-12-18,,,2024-12-23,2024-12-23,20
디비이엔씨(주) 외 1,2025-01-06,2025-01-06,,,http://detre-sw.co.kr/,2024910225,북수원이목지구 디에트르 더 리체Ⅰ,04,무순위/잔여세대,경기도 수원시 장안구 이목동 종전부동산 이목지구 도시개발사업 A4블록 공동주택용지,16342,16884007,202709,2024910225,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910225&pblancNo=2024910225,2024-12-27,2024-12-18,,,2024-12-23,2024-12-23,107
디더블유대원 주식회사,2024-12-28,2024-12-28,,,https://www.yi-cantavil.com,2024910223,용인 에버랜드역 칸타빌 무순위(임의공급 6차),04,무순위/잔여세대,경기도 용인시 처인구 포곡읍 전대리 192-2외 5필지,17023,0312658090,202611,2024910223,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910223&pblancNo=2024910223,2024-12-27,2024-12-16,,,2024-12-23,2024-12-23,12
교보자산신탁(주),2025-01-04,2025-01-04,2024-12-19,2024-12-19,https://xi.co.kr/ICK,2024930064,이천자이 더 파크,06,계약취소주택,경기도 이천시 관고동 산13-1번지 일원,17379,16440650,202501,2024930064,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024930064&pblancNo=2024930064,2024-12-24,2024-12-13,2024-12-18,2024-12-18,2024-12-18,2024-12-19,4
(주)원건설산업,2024-12-28,2024-12-29,,,https://오산세교힐데스하임.com,2024910224,오산세교2지구 힐데스하임(A20블록)(임의공급 1차),04,무순위/잔여세대,경기도 오산시 벌음동 149 일원(오산세교2지구 A20블록),18104,18116110,202702,2024910224,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910224&pblancNo=2024910224,2024-12-23,2024-12-13,,,2024-12-18,2024-12-18,49
주안1구역주택재개발정비사업조합,2025-01-03,2025-01-03,2024-12-18,2024-12-18,,2024930074,힐스테이트푸르지오주안,06,계약취소주택,인천광역시 미추홀구 주안동 1452-2번지 일원,22158,0324344074,202504,2024930074,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024930074&pblancNo=2024930074,2024-12-23,2024-12-12,2024-12-17,2024-12-17,2024-12-17,2024-12-18,3
주식회사 미산투자개발,2024-12-29,2024-12-29,,,https://harringtonplace-mokgam.com,2024910219,효성해링턴 플레이스 목감역(무순위 10차),04,무순위/잔여세대,경기도 시흥시 논곡동 378,14984,16003320,202412,2024910219,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910219&pblancNo=2024910219,2024-12-26,2024-12-12,,,2024-12-17,2024-12-17,9
