HOUSE_MANAGE_NO,HOUSE_TY,LTTOT_TOP_AMOUNT,MODEL_NO,PBLANC_NO,SPSPLY_HSHLDCO,SUPLY_AR,SUPLY_HSHLDCO
2024930075,064.7600A,29561,01,2024930075,1,87.2198,0
2024930075,084.9300B,38879,02,2024930075,1,113.5391,0
2024930075,084.9100C,38888,03,2024930075,2,113.6739,1
2024930075,084.9100D,38951,04,2024930075,0,113.6539,2
2024930074,059.9600A,37652,01,2024930074,1,79.9500,0
2024930074,059.7200B,37355,02,2024930074,0,80.3500,2
2024930073,084.9242A,43000,01,2024930073,2,112.7184,0
2024930073,114.9485B,57200,02,2024930073,0,152.0851,1
2024930072,059.9000A,75687,01,2024930072,1,80.5000,1
2024930072,059.9400E,75937,02,2024930072,1,81.5000,0
2024930071,084.5700D,75216,01,2024930071,0,112.2403,1
2024930069,084.0964A,79897,01,2024930069,1,111.0435,0
2024930069,084.8514C,79359,02,2024930069,1,111.8397,0
2024930069,084.0835D,80212,03,2024930069,2,111.0428,0
2024930068,084.8708B,44710,01,2024930068,0,111.0176,1
2024930067,049.5600 ,52240,01,2024930067,1,66.0631,0
2024930067,075.9900B,81950,02,2024930067,1,101.4436,0
2024930066,039.0380 ,33600,01,2024930066,1,59.2120,0
2024930065,084.9963B,43535,01,2024930065,1,110.7047,1
2024930064,059.9475B,31900,01,2024930064,1,82.2150,0
2024930064,084.9299A,47880,02,2024930064,1,113.1650,0
2024930064,102.7755T,63760,03,2024930064,0,137.3948,1
2024930064,107.8706 ,63770,04,2024930064,0,142.8283,1
2024930063,084.5300A,58985,01,2024930063,0,114.2200,1
2024930062,103.7241 ,111870,01,2024930062,0,136.7690,2
2024930061,074.9370B,62668,01,2024930061,0,100.8648,1
2024930060,084.8900C,37220,01,2024930060,0,110.9160,1
2024930059,074.9300A,31490,01,2024930059,0,99.5132,1
2024930058,084.6748A,45560,01,2024930058,1,110.6498,0
2024930057,074.9863A,32600,01,2024930057,2,98.3838,0
2024930057,084.9906A,36580,02,2024930057,1,110.4312,0
2024930057,084.9876B,36440,03,2024930057,0,110.2354,1
2024930057,099.9805A,43320,04,2024930057,0,131.0953,1
2024930056,084.9527B,40500,01,2024930056,1,110.3723,0
2024930055,084.9901A,53900,01,2024930055,0,111.2189,1
2024930055,084.9901B,53200,02,2024930055,0,111.0504,1
2024930054,059.9270E,79219,01,2024930054,0,80.5968,1
2024930053,084.8730A,32456,01,2024930053,1,111.7656,0
2024930052,084.7594A,35620,01,2024930052,3,110.4216,1
