BSNS_MBY_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,HMPG_ADRES,HOUSE_DETAIL_SECD,HOUSE_DETAIL_SECD_NM,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,MDHS_TELNO,MVN_PREARNGE_YM,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,RCRIT_PBLANC_DE,SEARCH_HOUSE_SECD,SUBSCRPT_RCEPT_BGNDE,SUBSCRPT_RCEPT_ENDDE,TOT_SUPLY_HSHLDCO
주식회사 서울도시재생공간지원위탁관리부동산투자회사,20250113,20250117,https://www.spacereits.co.kr/,03,공공지원민간임대,2024850027,양평동 동문 디 이스트,03,공공지원민간임대,서울특별시 영등포구 양평동1가 30번지 ,07262,03180686329,202505,2024850027,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850027&pblancNo=2024850027&houseSecd=03,20241230,20241217,0303,20241223,20241224,38
대방건설 주식회사,20241226,20241226,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850026,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03304,0319757988,202506,2024850026,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850026&pblancNo=2024850026&houseSecd=03,20241220,20241209,0303,20241216,20241217,1
(주)계룡하나제3호위탁관리부동산투자회사,20241220,20241224,http://www.엘리프옥정시그니처.com,03,공공지원민간임대,2024850025,엘리프 옥정 시그니처,03,공공지원민간임대,경기도 양주시 옥정동 1022(옥정택지개발지구 A-5BL),11466,0269114345,202503,2024850025,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850025&pblancNo=2024850025&houseSecd=03,20241210,20241129,0303,20241204,20241205,670
(주)엘티대한제8호위탁관리부동산투자회사,20250114,20250115,https://www.elyes.co.kr/main/main.do,03,공공지원민간임대,2024850024,양산 사송지구 B-8BL 사송 롯데캐슬,03,공공지원민간임대,경상남도 양산시 동면 사송리 1218번지 (양산사송지구 B-8BL),50637,0553724999,202501,2024850024,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850024&pblancNo=2024850024&houseSecd=03,20250107,20241227,0303,20250102,20250102,120
대방건설 주식회사,20241125,20241125,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850023,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원 (은평뉴타운 3-14BL),03302,0319757988,202506,2024850023,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850023&pblancNo=2024850023&houseSecd=03,20241122,20241113,0303,20241118,20241119,3
(주)엘티대한제8호위탁관리부동산투자회사,20241106,20241107,https://www.elyes.co.kr/main/main.do,03,공공지원민간임대,2024850022,양산 사송지구 B-8BL 사송 롯데캐슬,03,공공지원민간임대,경상남도 양산시 동면 사송리 1218번지 (양산 사송지구 B-8BL),50637,0553724999,202411,2024850022,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850022&pblancNo=2024850022&houseSecd=03,20241028,20241018,0303,20241023,20241023,272
창원뉴스테이 주식회사,20241010,20241011,http://www.ssgreencore2.com,03,공공지원민간임대,2024850021,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원[창원안민 공공지원 민간임대주택 공급촉진지구],51547,15668728,202502,2024850021,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850021&pblancNo=2024850021&houseSecd=03,20241007,20240925,0303,20240930,20240930,90
대방건설 주식회사,20240912,20240912,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850020,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03302,0319757988,202506,2024850020,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850020&pblancNo=2024850020&houseSecd=03,20240910,20240830,0303,20240904,20240905,4
창원뉴스테이 주식회사,20240826,20240827,http://www.ssgreencore2.com,03,공공지원민간임대,2024850019,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원[창원안민 공공지원 민간임대주택 공급촉진지구],51547,15668728,202502,2024850019,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850019&pblancNo=2024850019&houseSecd=03,20240822,20240814,0303,20240819,20240819,106
대방건설 주식회사,20240815,20240815,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850018,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(서울은평뉴타운 3-14BL),03301,0319757988,202506,2024850018,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850018&pblancNo=2024850018&houseSecd=03,20240813,20240801,0303,20240806,20240807,14
주식회사 서울도시재생공간지원위탁관리부동산투자회사,20240924,20240927,http://www.spacereits.co.kr,03,공공지원민간임대,2024850016,강동밀레니얼 중흥S-클래스,03,공공지원민간임대,서울특별시 강동구 천호동 423-200번지 일원,05329,03180686326,202410,2024850016,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850016&pblancNo=2024850016&houseSecd=03,20240906,20240827,0303,20240902,20240903,147
대방건설 주식회사,20240718,20240718,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850015,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4일원(은평뉴타운 3-14BL),03308,16883800,202506,2024850015,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850015&pblancNo=2024850015&houseSecd=03,20240716,20240704,0303,20240709,20240710,19
창원뉴스테이 주식회사,20240715,20240716,http://www.ssgreencore2.com,03,공공지원민간임대,2024850014,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지일원[창원안민 공공지원 민간임대주택 공급촉진지구],51547,15668728,202502,2024850014,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850014&pblancNo=2024850014&houseSecd=03,20240711,20240703,0303,20240708,20240708,119
주식회사 고양성사혁신지구재생사업위탁관리부동산투자회사,20240802,20240804,https://www.cicseongsa.com,03,공공지원민간임대,2024850013,CIC(창조혁신캠퍼스)성사,03,공공지원민간임대,"경기도 고양시 덕양구 성사동, 394번지, 692-67번지",10464,0318157500,202412,2024850013,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850013&pblancNo=2024850013&houseSecd=03,20240723,20240711,0303,20240716,20240718,118
대방건설 주식회사,20240618,20240618,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850012,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03308,16883800,202506,2024850012,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850012&pblancNo=2024850012&houseSecd=03,20240614,20240603,0303,20240610,20240611,68
