BSNS_MBY_NM,CNSTRCT_ENTRPS_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,GNRL_RNK1_CRSPAREA_ENDDE,GNRL_RNK1_CRSPAREA_RCPTDE,GNRL_RNK1_ETC_AREA_ENDDE,GNRL_RNK1_ETC_AREA_RCPTDE,GNRL_RNK1_ETC_GG_ENDDE,GNRL_RNK1_ETC_GG_RCPTDE,GNRL_RNK2_CRSPAREA_ENDDE,GNRL_RNK2_CRSPAREA_RCPTDE,GNRL_RNK2_ETC_AREA_ENDDE,GNRL_RNK2_ETC_AREA_RCPTDE,GNRL_RNK2_ETC_GG_ENDDE,GNRL_RNK2_ETC_GG_RCPTDE,HMPG_ADRES,HOUSE_DTL_SECD,HOUSE_DTL_SECD_NM,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,IMPRMN_BSNS_AT,LRSCL_BLDLND_AT,MDAT_TRGET_AREA_SECD,MDHS_TELNO,MVN_PREARNGE_YM,NPLN_PRVOPR_PUBLIC_HOUSE_AT,PARCPRC_ULS_AT,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,PUBLIC_HOUSE_EARTH_AT,PUBLIC_HOUSE_SPCLW_APPLC_AT,RCEPT_BGNDE,RCEPT_ENDDE,RCRIT_PBLANC_DE,RENT_SECD,RENT_SECD_NM,SPECLT_RDN_EARTH_AT,SPSPLY_RCEPT_BGNDE,SPSPLY_RCEPT_ENDDE,SUBSCRPT_AREA_CODE,SUBSCRPT_AREA_CODE_NM,TOT_SUPLY_HSHLDCO
한국토지주택공사 경기남부지역본부,극동건설주식회사,2025-05-13,2025-05-16,2025-01-14,2025-01-13,2025-01-14,2025-01-13,,,2025-01-16,2025-01-15,2025-01-16,2025-01-15,,,https://apply.lh.or.kr,03,국민,2024820019,성남금토 A-4블록 신혼희망타운(공공분양)(본청약),10,신혼희망타운,경기도 성남시 수정구 금토동 일원 성남금토 공공주택지구 내 A-4블록,13453,N,N,N,03180777989,202711,N,Y,2024820019,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024820019&pblancNo=2024820019,2025-01-24,Y,Y,2025-01-13,2025-01-16,2024-12-31,0,분양주택,N,,,410,경기,766
한국자산신탁(주),(주)태영건설,2025-02-03,2025-02-05,2025-01-14,2025-01-14,2025-01-14,2025-01-14,,,2025-01-15,2025-01-15,2025-01-15,2025-01-15,,,http://더팰리스트데시앙.com,01,민영,2024000715,더 팰리스트 데시앙,01,APT,대구광역시 동구 신천동 481-1번지 외 16필지,41246,N,N,N,15513355,202510,N,N,2024000715,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000715&pblancNo=2024000715,2025-01-21,N,N,2025-01-13,2025-01-15,2024-12-31,0,분양주택,N,2025-01-13,2025-01-13,700,대구,418
한국토지주택공사 경기남부지역본부,양우종합건설 주식회사,2025-05-22,2025-05-27,2025-01-16,2025-01-15,2025-01-16,2025-01-15,,,2025-01-17,2025-01-17,2025-01-17,2025-01-17,,,https://apply.lh.or.kr/,03,국민,2024820018,의왕청계2 A1블록 신혼희망타운(공공분양)(본청약),10,신혼희망타운,"경기도 의왕시 청계동, 포일동 일원 의왕청계2 공공주택지구 내 A1블록",16013,N,N,N,0312508181,202804,N,Y,2024820018,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024820018&pblancNo=2024820018,2025-01-24,Y,Y,2025-01-15,2025-01-17,2024-12-30,0,분양주택,N,,,410,경기,320
강화지역주택조합,㈜서희건설,2025-01-31,2025-02-04,2025-01-10,2025-01-10,2025-01-10,2025-01-10,,,2025-01-13,2025-01-13,2025-01-13,2025-01-13,,,https://www.gh-starhills.com,01,민영,2024000661,인천강화서희스타힐스 1단지(조합원 취소세대),01,APT,인천광역시 강화군 선원면 창리456번지 일원,23041,N,N,N,0329337019,202502,N,N,2024000661,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000661&pblancNo=2024000661,2025-01-17,N,N,2025-01-09,2025-01-13,2024-12-30,0,분양주택,N,2025-01-09,2025-01-09,400,인천,17
디아이건설주식회사,대방산업개발 주식회사,2025-02-03,2025-02-05,2025-01-09,2025-01-09,2025-01-09,2025-01-09,,,2025-01-10,2025-01-10,2025-01-10,2025-01-10,,,https://www.elium-eco.co.kr/,01,민영,2024000704,부산에코델타시티 대방 엘리움 리버뷰,01,APT,부산광역시 강서구 에코델타시티 공동주택용지 31BL,46716,N,N,N,16888010,202710,N,Y,2024000704,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000704&pblancNo=2024000704,2025-01-16,N,N,2025-01-08,2025-01-10,2024-12-27,0,분양주택,N,2025-01-08,2025-01-08,600,부산,470
광문개발(주),양우종합건설주식회사,2025-01-24,2025-01-26,2025-01-06,2025-01-06,2025-01-06,2025-01-06,,,2025-01-07,2025-01-07,2025-01-07,2025-01-07,,,http://www.두정역양우내안애.com,01,민영,2024000726,천안 두정역 양우내안애 퍼스트로,01,APT,충청남도 천안시 서북구 두정동 393-11번지 일원,31112,N,N,N,15995200,202712,N,N,2024000726,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000726&pblancNo=2024000726,2025-01-13,N,N,2025-01-03,2025-01-07,2024-12-24,0,분양주택,N,2025-01-03,2025-01-03,312,충남,416
(주)대미건설산업,(주)브엘종합건설,2025-01-20,2025-01-22,2024-12-30,2024-12-30,2024-12-30,2024-12-30,,,2024-12-31,2024-12-31,2024-12-31,2024-12-31,,,https://blog.naver.com/sejong_richvill,03,국민,2024000733,세종 번암리 리치빌 3차,01,APT,세종특별자치시 조치원읍 번암리 66-18 (리치빌 3차),30037,N,N,N,0448661480,202501,N,N,2024000733,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000733&pblancNo=2024000733,2025-01-07,N,N,2024-12-30,2024-12-31,2024-12-20,0,분양주택,N,,,338,세종,40
(주)대미건설산업,(주)브엘종합건설,2025-01-20,2025-01-22,2024-12-30,2024-12-30,2024-12-30,2024-12-30,,,2024-12-31,2024-12-31,2024-12-31,2024-12-31,,,https://blog.naver.com/sejong_richvill,03,국민,2024000732,세종 번암리 리치빌 2차,01,APT,세종특별자치시 조치원읍 번암리 66-20 (리치빌2차),30037,N,N,N,0448661480,202501,N,N,2024000732,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000732&pblancNo=2024000732,2025-01-07,N,N,2024-12-30,2024-12-31,2024-12-20,0,분양주택,N,,,338,세종,44
(주)대미건설산업,(주)보아스메가텍,2025-01-20,2025-01-22,2024-12-30,2024-12-30,2024-12-30,2024-12-30,,,2024-12-31,2024-12-31,2024-12-31,2024-12-31,,,https://blog.naver.com/sejong_richvill,03,국민,2024000731,세종 번암리 리치빌 1차,01,APT,세종특별자치시 조치원읍 번암리 66-23 (리치빌1차),30037,N,N,N,0448661480,202501,N,N,2024000731,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000731&pblancNo=2024000731,2025-01-07,N,N,2024-12-30,2024-12-31,2024-12-20,0,분양주택,N,,,338,세종,47
삼성물산(주),삼성물산(주),2025-01-21,2025-01-26,2024-12-31,2024-12-31,2024-12-31,2024-12-31,,,2025-01-02,2025-01-02,2025-01-02,2025-01-02,,,https://www.raemian.co.kr,01,민영,2024000730,래미안 센트리폴(2BL),01,APT,인천광역시 연수구 옥련동 송도역세권 도시개발구역 A2블록 ,21955,N,N,N,0328342549,202801,N,N,2024000730,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000730&pblancNo=2024000730,2025-01-08,N,N,2024-12-30,2025-01-02,2024-12-20,0,분양주택,N,2024-12-30,2024-12-30,400,인천,819
