BSNS_MBY_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,HMPG_ADRES,HOUSE_DTL_SECD,HOUSE_DTL_SECD_NM,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,MDHS_TELNO,MVN_PREARNGE_YM,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,RCRIT_PBLANC_DE,SEARCH_HOUSE_SECD,SUBSCRPT_RCEPT_BGNDE,SUBSCRPT_RCEPT_ENDDE,TOT_SUPLY_HSHLDCO
교보자산신탁(주),2025-01-24,2025-01-31,https://www.장위아트포레.com,01,도시형생활주택,2024950095,상월곡역 장위아트포레(도시형생활주택),02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 성북구 석관동 338-18,02791,029660988,202505,2024950095,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950095&pblancNo=2024950095&houseSecd=02,2025-01-13,2024-12-27,0201,2025-01-06,2025-01-08,5
(주)무궁화신탁,2025-01-14,2025-01-14,https://xi.co.kr/pangyo-office,02,오피스텔,2024950094,판교밸리자이 3단지 오피스텔,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 성남시 수정구 대왕판교로 961,13106,15338178,202503,2024950094,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950094&pblancNo=2024950094&houseSecd=02,2025-01-10,2024-12-27,0202,2025-01-07,2025-01-07,3
(주)엘티대한제8호위탁관리부동산투자회사,2025-01-14,2025-01-15,https://www.elyes.co.kr/main/main.do,03,공공지원민간임대,2024850024,양산 사송지구 B-8BL 사송 롯데캐슬,03,공공지원민간임대,경상남도 양산시 동면 사송리 1218번지 (양산사송지구 B-8BL),50637,0553724999,202501,2024850024,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850024&pblancNo=2024850024&houseSecd=03,2025-01-07,2024-12-27,0303,2025-01-02,2025-01-02,120
주식회사 서울도시재생공간지원위탁관리부동산투자회사,2025-01-13,2025-01-17,https://www.spacereits.co.kr/,03,공공지원민간임대,2024850027,양평동 동문 디 이스트,03,공공지원민간임대,서울특별시 영등포구 양평동1가 30번지 ,07262,03180686329,202505,2024850027,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850027&pblancNo=2024850027&houseSecd=03,2024-12-30,2024-12-17,0303,2024-12-23,2024-12-24,38
문화지구주택재개발정비사업조합,2024-12-27,2024-12-28,,03,민간임대,2024950092,교대역 푸르지오 트레힐즈,02,도시형/오피스텔/생활숙박시설/민간임대,대구광역시 남구 이천동 474-1번지 일원 (교대역 푸르지오 트레힐즈),42427,0534725559,202412,2024950092,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950092&pblancNo=2024950092&houseSecd=02,2024-12-26,2024-12-13,0203,2024-12-18,2024-12-20,20
대방건설 주식회사,2024-12-26,2024-12-26,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850026,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03304,0319757988,202506,2024850026,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850026&pblancNo=2024850026&houseSecd=03,2024-12-20,2024-12-09,0303,2024-12-16,2024-12-17,1
주식회사 한원그룹,2024-12-22,2024-12-22,http://www.hanwon.co/imun,01,도시형생활주택,2024950093,이문 월드메르디앙 힐트리움 더테라스,02,도시형/오피스텔/생활숙박시설/민간임대,"서울특별시 동대문구 이문동 348-11, 348-12",02451,029955949,202501,2024950093,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950093&pblancNo=2024950093&houseSecd=02,2024-12-19,2024-12-06,0201,2024-12-16,2024-12-16,4
대한토지신탁(주),2024-12-23,2024-12-23,https://www.prugio.com/hc/2021/singil,01,도시형생활주택,2024950091,신길 AK 푸르지오,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 영등포구 신길동 255-9번지 일원,07387,18002799,202412,2024950091,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950091&pblancNo=2024950091&houseSecd=02,2024-12-20,2024-12-06,0201,2024-12-16,2024-12-16,3
(주)한국토지신탁,2024-12-13,2024-12-13,https://www.dlcon-apt.co.kr/danji/91XAW1/index.html#/,02,오피스텔,2024950088,e편한세상 범일 국제금융시티,02,도시형/오피스텔/생활숙박시설/민간임대,부산광역시 동구 범일2동 830-90번지 일원,48740,0516342001,202806,2024950088,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950088&pblancNo=2024950088&houseSecd=02,2024-12-12,2024-12-04,0202,2024-12-09,2024-12-09,224
천호4촉진구역 도시환경정비사업조합,2024-12-13,2024-12-13,https://www.더샵강동센트럴시티.kr ,02,오피스텔,2024950090,더샵 강동센트럴시티,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 강동구 천호동 410-100번지 일대,05322,16612001,202512,2024950090,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950090&pblancNo=2024950090&houseSecd=02,2024-12-12,2024-12-03,0202,2024-12-09,2024-12-09,8
(주)계룡하나제3호위탁관리부동산투자회사,2024-12-20,2024-12-24,http://www.엘리프옥정시그니처.com,03,공공지원민간임대,2024850025,엘리프 옥정 시그니처,03,공공지원민간임대,경기도 양주시 옥정동 1022(옥정택지개발지구 A-5BL),11466,0269114345,202503,2024850025,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850025&pblancNo=2024850025&houseSecd=03,2024-12-10,2024-11-29,0303,2024-12-04,2024-12-05,670
호원초등학교주변지구 주택재개발정비사업조합,2024-12-12,2024-12-13,http://seokmico.15440835.com/adena/res/home.php?go=sale.list&mid=10,03,민간임대,2024950089,평촌 어바인퍼스트 더샵,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 안양시 동안구 호계동 956번지 일원,14116,15662706,202412,2024950089,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950089&pblancNo=2024950089&houseSecd=02,2024-12-09,2024-11-28,0203,2024-12-03,2024-12-04,36
인천여상주변재개발정비사업조합,2025-01-02,2025-01-04,https://www.dlcon-apt.co.kr/danji/240006/index.html#/sales/,02,오피스텔,2024950083,e편한세상 동인천 베이프런트 오피스텔,02,도시형/오피스텔/생활숙박시설/민간임대,인천광역시 중구 사동 23-4번지 일원,22323,0327770579,202804,2024950083,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950083&pblancNo=2024950083&houseSecd=02,2024-12-26,2024-11-28,0202,2024-12-18,2024-12-18,88
