EXCLUSE_AR,GP,HOUSE_MANAGE_NO,MODEL_NO,PBLANC_NO,SUBSCRPT_REQST_AMOUNT,SUPLY_AMOUNT,SUPLY_HSHLDCO,TP,`TP
75.6300,-,2024950096,01,2024950096,100,87100,2,75D,
83.8900,-,2024950096,03,2024950096,100,87800,1,83B,
80.8300,-,2024950096,02,2024950096,100,86900,1,80C,
18.0700,-,2024950095,01,2024950095,100,22500,1,18BL,
31.9900,-,2024950095,04,2024950095,100,35700,2,31EL,
27.2000,-,2024950095,03,2024950095,100,30200,1,27CL,
22.1900,-,2024950095,02,2024950095,100,28300,1,22GL,
84.9842,-,2024950094,01,2024950094,100,107300,2,84A,
84.9743,-,2024950094,02,2024950094,100,95600,1,84B,
79.9600,-,2024950093,02,2024950093,100,84500,1,79A,
75.6300,-,2024950093,01,2024950093,100,87100,2,75D,
83.8900,-,2024950093,03,2024950093,100,87800,1,83B,
38.5485,-,2024950092,01,2024950092,10,18300,20,38,
49.4552,-,2024950091,01,2024950091,100,85020,3,49A,
18.9420,-,2024950090,01,2024950090,100,23560,8,18,
59.3765,-,2024950089,02,2024950089,100,43000,7,59D,
59.9191,-,2024950089,01,2024950089,100,43000,29,59C,
25.8950,1,2024950088,01,2024950088,100,14730,115,25A,
29.7900,2,2024950088,02,2024950088,100,15827,12,29A,
29.3780,2,2024950088,03,2024950088,100,15609,12,29B,
29.7350,2,2024950088,04,2024950088,100,15797,12,29C,
29.2500,2,2024950088,09,2024950088,100,14665,12,29H,
29.2710,2,2024950088,06,2024950088,100,15551,12,29E,
29.3810,2,2024950088,07,2024950088,100,14730,24,29F,
29.7170,2,2024950088,08,2024950088,100,15788,13,29G,
29.8030,2,2024950088,05,2024950088,100,15745,12,29D,
57.6880,-,2024950087,01,2024950087,500,86700,4,B,
59.9857,-,2024950086,01,2024950086,100,75700,2,59A,
84.9858,-,2024950086,03,2024950086,100,93500,1,84C,
84.9842,-,2024950086,02,2024950086,100,107300,2,84A,
48.0800,1,2024950085,02,2024950085,300,151770,1,48D,
43.0000,1,2024950085,01,2024950085,300,136558,2,43A,
29.5000,-,2024950084,01,2024950084,300,40239,8,29B,
45.0100,-,2024950084,03,2024950084,300,61463,8,45A,
29.0200,-,2024950084,02,2024950084,300,39240,4,29C,
36.5744,-,2024950083,02,2024950083,100,18460,44,36B,
36.5744,-,2024950083,01,2024950083,100,18370,44,36A,
75.6300,-,2024950082,01,2024950082,100,87100,1,75D,
83.8900,-,2024950082,04,2024950082,100,84500,1,83B,
79.9600,-,2024950082,03,2024950082,100,84500,1,79A,
77.8200,-,2024950082,02,2024950082,100,81100,1,77E,
35.0896,-,2024950081,01,2024950081,100,22000,19,35,
39.5200,1,2024950080,05,2024950080,100,39372,2,OC,
62.6900,2,2024950080,06,2024950080,100,57977,12,OA,
59.4500,2,2024950080,07,2024950080,100,54710,3,OA-1,
42.4200,1,2024950080,04,2024950080,100,41200,2,OB-B,
42.4200,1,2024950080,02,2024950080,100,41612,3,OB-2,
42.4200,1,2024950080,03,2024950080,100,41612,2,OB-A,
42.7500,1,2024950080,01,2024950080,100,41728,1,OB-1,
115.6800,-,2024950079,02,2024950079,100,49970,63,115OA,
111.7500,-,2024950079,01,2024950079,100,48280,21,111OB,
38.5485,-,2024950078,01,2024950078,10,18300,60,38,
18.9420,-,2024950077,01,2024950077,100,24030,15,18,
77.6300,-,2024950076,01,2024950076,300,257233,3,A1,
38.3300,-,2024950076,03,2024950076,300,116073,4,D,
78.1000,-,2024950076,02,2024950076,300,262320,2,A2,
84.9743,-,2024950075,02,2024950075,100,95600,1,84B,
84.9842,-,2024950075,01,2024950075,100,107300,2,84A,
54.5263,-,2024950074,01,2024950074,100,108260,1,54A,
55.8530,-,2024950074,02,2024950074,100,111620,1,55,
74.0941,-,2024950074,06,2024950074,100,143430,1,74,
57.0082,-,2024950074,04,2024950074,100,111700,1,57,
59.3111,-,2024950074,05,2024950074,100,110990,1,59A,
56.7608,-,2024950074,03,2024950074,100,111610,2,56,
