CNTRCT_AR,EXCLUSE_AR,GNSPLY_HSHLDCO,GP,HOUSE_MANAGE_NO,MODEL_NO,PBLANC_NO,SPSPLY_AGED_HSHLDCO,SPSPLY_NEW_MRRG_HSHLDCO,SPSPLY_YGMN_HSHLDCO,SUBSCRPT_REQST_AMOUNT,SUPLY_AMOUNT,SUPLY_AR,SUPLY_HSHLDCO,TP
97.6341,44.8437,14,-,2024850027,01,2024850027,0,0,0,10,25000,61.8546,14,44A
97.6341,44.8437,0,-,2024850027,02,2024850027,0,4,0,10,25000,61.8546,4,44AT
96.6182,44.9862,16,-,2024850027,03,2024850027,0,0,0,10,25000,61.2110,16,44B
96.6182,44.9862,0,-,2024850027,04,2024850027,0,4,0,10,25000,61.2110,4,44BT
208.4470,84.9922,1,-,2024850026,01,2024850026,0,0,0,30,63792,113.8456,1,84C
114.7614,59.9954,367,-,2024850025,01,2024850025,0,0,0,10,13900,80.4950,367,59A
115.0921,59.9699,9,-,2024850025,02,2024850025,0,0,0,10,13900,80.8402,9,59B
114.7614,59.9954,0,-,2024850025,03,2024850025,0,118,0,10,12400,80.4950,118,59C
151.2197,79.9538,176,-,2024850025,04,2024850025,0,0,0,10,17600,105.5539,176,79A
125.8363,65.9024,50,-,2024850024,01,2024850024,0,0,0,10,14000,86.0106,50,65A
142.6796,74.9331,38,-,2024850024,02,2024850024,0,0,0,10,14000,97.3966,38,74A
142.9180,74.9719,27,-,2024850024,03,2024850024,0,0,0,10,14000,97.6115,27,74B
143.7736,74.9808,5,-,2024850024,04,2024850024,0,0,0,10,14000,98.4617,5,74C
208.4470,84.9922,3,-,2024850023,01,2024850023,0,0,0,30,68067,113.8456,3,84C
125.8363,65.9024,0,-,2024850022,01,2024850022,0,38,37,10,9000,86.0106,75,65A-2
142.6796,74.9331,2,-,2024850022,02,2024850022,0,0,0,10,14000,97.3966,2,74A
142.6796,74.9331,0,-,2024850022,03,2024850022,0,56,56,10,9000,97.3966,112,74A-2
142.9180,74.9719,0,-,2024850022,04,2024850022,0,19,19,10,9000,97.6115,38,74B-2
143.7736,74.9808,1,-,2024850022,05,2024850022,0,0,0,10,14000,98.4617,1,74C
143.7736,74.9808,0,-,2024850022,06,2024850022,0,4,4,10,6000,98.4617,8,74C-2
161.3948,84.9976,8,-,2024850022,07,2024850022,0,0,0,10,14000,110.0296,8,84A
161.3948,84.9976,0,-,2024850022,08,2024850022,0,4,4,10,8000,110.0296,8,84A-2
161.9085,84.9740,9,-,2024850022,09,2024850022,0,0,0,10,14000,110.5576,9,84B
161.9085,84.9740,0,-,2024850022,10,2024850022,0,3,4,10,8000,110.5576,7,84B-2
161.8513,84.9414,4,-,2024850022,11,2024850022,0,0,0,10,14000,110.5201,4,84C
121.9784,59.9536,0,-,2024850021,01,2024850021,9,4,0,10,17900,83.6704,13,59A
123.2580,59.9960,0,-,2024850021,02,2024850021,5,34,0,10,17800,84.9230,39,59B
121.7906,59.9449,0,-,2024850021,03,2024850021,5,26,0,10,17700,83.4882,31,59C
148.3305,75.2470,0,-,2024850021,04,2024850021,5,0,0,10,21000,100.2506,5,75
162.8704,84.7229,0,-,2024850021,05,2024850021,2,0,0,10,22900,108.7358,2,84
208.4470,84.9922,4,-,2024850020,01,2024850020,0,0,0,30,67402,113.8456,4,84C
121.9784,59.9536,0,-,2024850019,01,2024850019,10,8,0,10,17900,83.6704,18,59A
123.2580,59.9960,0,-,2024850019,02,2024850019,5,38,3,10,17800,84.9230,46,59B
121.7906,59.9449,0,-,2024850019,03,2024850019,5,26,1,10,17700,83.4882,32,59C
148.3305,75.2470,0,-,2024850019,04,2024850019,5,1,0,10,21000,100.2506,6,75
162.8704,84.7229,0,-,2024850019,05,2024850019,2,2,0,10,22900,108.7358,4,84
208.4470,84.9922,14,-,2024850018,01,2024850018,0,0,0,30,67402,113.8456,14,84C
85.2341,35.8833,0,-,2024850016,01,2024850016,0,0,32,10,5000,57.6027,32,35A
85.2341,35.8833,48,-,2024850016,02,2024850016,0,0,0,10,5000,57.6027,48,35B
85.2341,35.8833,52,-,2024850016,03,2024850016,0,0,0,10,5000,57.6027,52,35C
86.3918,36.3007,15,-,2024850016,04,2024850016,0,0,0,10,5000,58.4390,15,36
148.3924,59.9860,0,-,2024850015,01,2024850015,0,1,0,30,45985,81.6244,1,59A-2
208.4470,84.9922,18,-,2024850015,02,2024850015,0,0,0,30,67640,113.8456,18,84C
121.9784,59.9536,0,-,2024850014,01,2024850014,9,17,5,10,17900,83.6704,31,59A
123.2580,59.9960,0,-,2024850014,02,2024850014,5,40,1,10,17800,84.9230,46,59B
121.7906,59.9449,0,-,2024850014,03,2024850014,5,26,1,10,17700,83.4882,32,59C
148.3305,75.2470,0,-,2024850014,04,2024850014,5,0,2,10,21000,100.2506,7,75
162.8704,84.7229,0,-,2024850014,05,2024850014,3,0,0,10,22900,108.7358,3,84
91.1371,26.0039,6,-,2024850013,01,2024850013,0,0,0,10,1000,53.9583,6,26A
91.1371,26.0039,0,-,2024850013,02,2024850013,0,0,24,10,1000,53.9583,24,26AT
128.1132,36.7976,30,-,2024850013,03,2024850013,0,0,0,10,2000,75.5022,30,36A
128.0001,36.9078,30,-,2024850013,04,2024850013,0,0,0,10,2000,75.2316,30,36B
172.0508,49.5234,28,-,2024850013,05,2024850013,0,0,0,10,3000,101.2452,28,49F
148.3924,59.9860,0,-,2024850012,01,2024850012,0,1,0,30,46410,81.6244,1,59A-2
209.5720,84.9832,10,-,2024850012,02,2024850012,0,0,0,30,64695,114.9806,10,84A
209.5149,84.9638,2,-,2024850012,03,2024850012,0,0,0,30,66072,114.9452,2,84B
208.4470,84.9922,55,-,2024850012,04,2024850012,0,0,0,30,69397,113.8456,55,84C
125.8363,65.9024,0,-,2024850011,01,2024850011,0,25,0,10,8900,86.0106,25,65A-1
142.9180,74.9719,0,-,2024850011,02,2024850011,0,9,0,10,8900,97.6115,9,74B-1
