BSNS_MBY_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,GNRL_RCEPT_BGNDE,GNRL_RCEPT_ENDDE,HMPG_ADRES,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,MDHS_TELNO,MVN_PREARNGE_YM,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,RCRIT_PBLANC_DE,SPSPLY_RCEPT_BGNDE,SPSPLY_RCEPT_ENDDE,SUBSCRPT_RCEPT_BGNDE,SUBSCRPT_RCEPT_ENDDE,TOT_SUPLY_HSHLDCO
한국자산신탁(주),20250114,20250114,,,https://www.더샵탕정인피니티시티3차.kr,2024940166,더샵 탕정인피니티시티 3차,11,임의공급,충청남도 아산시 아산탕정지구 도시개발구역 A2BL,31461,15513517,202710,2024940166,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940166&pblancNo=2024940166,20250110,20250103,,,20250107,20250107,15
파주문산3리지구 주택재개발정비사업조합,20250111,20250111,,,http://paju3-dmapt.co.kr,2024940165,문산역3차 동문 디 이스트 센트럴,11,임의공급,경기도 파주시 문산읍 문산리 81-61번지 일원,10821,0316517733,202711,2024940165,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940165&pblancNo=2024940165,20250110,20250102,,,20250106,20250107,99
부천역곡대림A경기도시공사참여가로주택정비사업조합,20250116,20250117,,,,2024940163,부천역곡 자연앤한양립스(3차),11,임의공급,"경기도 부천시 원미구 지봉로127번길 39 (역곡동, 자연앤한양립스)",14668,0323458980,202502,2024940163,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940163&pblancNo=2024940163,20250110,20250102,,,20250106,20250107,8
(주)성남고등에스1피에프브이,20241221,20241222,,,http://www.gd-jeil.co.kr,2024940162,판교밸리 제일풍경채,11,임의공급,"경기도 성남시 수정구 고등공원로 19 (고등동, 판교밸리 제일풍경채)",13105,0317568889,202503,2024940162,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940162&pblancNo=2024940162,20241220,20241213,,,20241217,20241217,40
한국투자부동산신탁 주식회사,20241223,20241223,,,https://www.트리너스.com,2024940161,동천역 트리너스(3차),11,임의공급,경기도 용인시 수지구 동천동 177-2 외 5필지,16825,15990790,202412,2024940161,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940161&pblancNo=2024940161,20241220,20241213,,,20241217,20241217,5
(주)인천검단부천괴안주택위탁관리부동산투자회사,20241220,20241220,,,https://xi.co.kr/bax,2024940160,부천아테라자이(부천괴안지구 B-2블록) 2차,11,임의공급,경기도 부천시 소사구 괴안동 부천괴안 공공주택지구 B2블록,14686,18334412,202701,2024940160,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940160&pblancNo=2024940160,20241218,20241211,,,20241213,20241213,22
주식회사 하나자산신탁,20241221,20241221,,,https://www.prugio.com/ht/2024/geomdan,2024940159,검단신도시 푸르지오 더 파크,11,임의공급,인천광역시 서구 검단신도시 AA28BL(마전동),22642,16682060,202712,2024940159,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940159&pblancNo=2024940159,20241220,20241213,,,20241217,20241217,49
청천2구역 주택재개발정비사업조합,20241218,20241218,,,http://www.hanwoorired.co.kr/live/37type_event.html,2024940157,e편한세상 부평 그랑힐스(보류지),11,임의공급,인천광역시 부평구 청천동 36-3번지 일원 (청천2구역 주택재개발정비사업),21303,16684888,202503,2024940157,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940157&pblancNo=2024940157,20241217,20241210,,,20241212,20241212,2
(주)사이마케팅,20241223,20241223,,,,2024940156,인천 유림노르웨이숲 에듀오션(7차),11,임의공급,"인천광역시 중구 서해대로 278 (신흥동3가, 인천유림노르웨이숲에듀오션)",22334,15991108,202503,2024940156,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940156&pblancNo=2024940156,20241220,20241211,,,20241213,20241217,4
(주)무궁화신탁,20241221,20241221,,,https://천호역마에스트로.com,2024940155,천호역 마에스트로(2차),11,임의공급,서울특별시 강동구 천호동 334-2번지,05245,15334551,202502,2024940155,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940155&pblancNo=2024940155,20241218,20241206,,,20241212,20241213,23
주식회사 코람코자산신탁,20241213,20241213,,,https://www.glanzlife.co.kr,2024940154,그란츠 리버파크(2차),11,임의공급,서울특별시 강동구 성내동 15번지 일대,05379,15337677,202504,2024940154,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940154&pblancNo=2024940154,20241212,20241205,,,20241209,20241209,40
송림6구역재개발정비사업조합,20241221,20241221,,,https://www.리아츠더인천.com,2024940153,리아츠 더 인천,11,임의공급,인천광역시 동구 송림동 31-3번지 일원,22545,15515758,202710,2024940153,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940153&pblancNo=2024940153,20241220,20241213,,,20241217,20241217,29
대흥2구역주택재개발정비사업조합,20241226,20241226,,,https://www.reve-switzen.com,2024940152,대전 르에브 스위첸 1단지,11,임의공급,대전광역시 중구 대흥동 385-15번지 일원,34936,0425892580,202709,2024940152,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940152&pblancNo=2024940152,20241218,20241211,,,20241213,20241213,50
충청남도개발공사,20241227,20241227,,,https://www.elife.co.kr,2024940151,e편한세상 내포 퍼스트드림(선택형 분양전환공공임대주택),11,임의공급,충남 내포신도시 RH16BL(충청남도 홍성군 홍북읍 신경리 1207일원),32267,0419772600,202701,2024940151,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940151&pblancNo=2024940151,20241219,20241212,,,20241216,20241216,613
세광연립가로주택정비사업조합,20241220,20241221,,,https://sejip.co.kr,2024940150,학동역 에스포레 논현,11,임의공급,서울특별시 강남구 논현동 150-4,06115,0267358800,202510,2024940150,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940150&pblancNo=2024940150,20241219,20241212,,,20241216,20241216,9
용산주공아파트 주택재건축정비사업조합,20241214,20241215,,,https://한화포레나충주호암.com,2024940149,한화포레나 충주호암,11,임의공급,충청북도 충주시 호암동 193-2번지 일원,27401,0438451260,202708,2024940149,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940149&pblancNo=2024940149,20241212,20241205,,,20241209,20241209,49
신한자산신탁(주),20241231,20250103,,,,2024940148,고덕 센트럴 푸르지오,11,임의공급,서울특별시 강동구 고덕로 399,05222,0314319601,202502,2024940148,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940148&pblancNo=2024940148,20241223,20241213,,,20241217,20241217,5
경남기업(주),20241214,20241214,,,https://gjtj-honorsville.kr,2024940147,광주태전 경남아너스빌 리미티드,11,임의공급,경기도 광주시 장지동 695-14번지 일원,12786,15555404,202708,2024940147,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940147&pblancNo=2024940147,20241212,20241205,,,20241209,20241209,28
케이비부동산신탁(주),20241214,20241214,,,http://더트루엘마곡hq.com,2024940146,더 트루엘 마곡 HQ(3차),11,임의공급,"서울특별시 강서구 공항동 11-10,22번지 일원",07618,15668228,202412,2024940146,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940146&pblancNo=2024940146,20241211,20241202,,,20241206,20241206,17
사직3구역주택재개발정비사업조합,20241213,20241213,,,,2024940145,힐스테이트 어울림 청주사직,11,임의공급,충청북도 청주시 서원구 사직동 215-8번지,28550,0432694535,202706,2024940145,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940145&pblancNo=2024940145,20241212,20241204,,,20241209,20241209,25
(주)원건설산업,20241207,20241208,,,https://오산세교힐데스하임.com,2024940144,오산세교2지구 힐데스하임(A20블록),11,임의공급,경기도 오산시 벌음동 149 일원(오산세교2지구 A20블록),18104,18116110,202702,2024940144,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940144&pblancNo=2024940144,20241204,20241127,,,20241129,20241129,98
주식회사 인데크,20241206,20241206,,,http://www.의정부역신동아파밀리에.com,2024940143,의정부역 파밀리에Ⅱ(3차),11,임의공급,"경기도 의정부시 의정부동 100-1, 100-2번지",11697,0318738979,202607,2024940143,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940143&pblancNo=2024940143,20241205,20241128,,,20241202,20241202,8
주식회사 하나자산신탁,20241129,20241129,,,,2024940142,e편한세상 주촌 더프리미어,11,임의공급,경상남도 김해시 주촌면 선지리 213-2번지 일원,50887,0553351777,202512,2024940142,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940142&pblancNo=2024940142,20241128,20241121,,,20241125,20241125,19
중리신도시현대지역주택조합2,20241206,20241207,,,http://hillstate.co.kr/s/ics,2024940141,힐스테이트 이천역 1단지,11,임의공급,경기도 이천시 증일동 79-4번지 일원,17391,0316338300,202607,2024940141,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940141&pblancNo=2024940141,20241204,20241125,,,20241129,20241129,15
주식회사 하나자산신탁,20241130,20241130,,,https://www.osansegyohaustory.com,2024940140,오산세교 하우스토리 더 센트럴(2차),11,임의공급,경기도 오산시 궐동 684-2번지 일원,18123,18116160,202508,2024940140,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940140&pblancNo=2024940140,20241126,20241119,,,20241121,20241121,31
마전지역주택조합,20241212,20241212,,,http://가현숲.com,2024940139,검단 스타힐스 가현숲(2차),11,임의공급,인천광역시 서구 마전동 1158-12번지 외 8필지,22601,15778334,202704,2024940139,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940139&pblancNo=2024940139,20241205,20241126,,,20241128,20241202,4
한국투자부동산신탁 주식회사,20241128,20241130,,,https://www.트리너스.com,2024940138,동천역 트리너스(2차),11,임의공급,경기도 용인시 수지구 동천동 177-2번지 외 5필지,16825,15990790,202411,2024940138,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940138&pblancNo=2024940138,20241125,20241118,,,20241120,20241120,29
공성아파트 소규모재건축사업조합,20241205,20241207,,,https://제기동역파밀리에더센트럴.bunyangnara.kr,2024940137,제기동역 파밀리에 더센트럴(2차),11,임의공급,서울특별시 동대문구 제기동 892-65 번지,02569,0232934500,202606,2024940137,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940137&pblancNo=2024940137,20241203,20241125,,,20241127,20241128,11
양주덕정지역주택조합,20241203,20241203,,,http://dj-seohee.co.kr,2024940135,덕정역 서희스타힐스 에듀포레 3단지,11,임의공급,경기도 양주시 덕정동 84번지 일원,11449,15516865,202507,2024940135,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940135&pblancNo=2024940135,20241126,20241119,,,20241121,20241121,18
(주)인천검단부천괴안주택위탁관리부동산투자회사,20241129,20241129,,,https://xi.co.kr/bax,2024940133,부천아테라자이(부천괴안지구 B-2블록),11,임의공급,경기도 부천시 소사구 괴안동 부천괴안 공공주택지구 B2블록,14686,18334412,202701,2024940133,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940133&pblancNo=2024940133,20241125,20241118,,,20241120,20241120,38
길훈아파트 주택재건축정비사업조합,20241206,20241207,,,https://gaebongluvlu.imweb.me,2024940132,개봉 루브루(3차),11,임의공급,서울특별시 구로구 개봉동 312-38 일원,08355,15995405,202604,2024940132,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024940132&pblancNo=2024940132,20241202,20241121,,,20241126,20241127,25
