BSNS_MBY_NM	CNSTRCT_ENTRPS_NM	CNTRCT_CNCLS_BGNDE	CNTRCT_CNCLS_ENDDE	GNRL_RNK1_CRSPAREA_ENDDE	GNRL_RNK1_CRSPAREA_RCPTDE	GNRL_RNK1_ETC_AREA_ENDDE	GNRL_RNK1_ETC_AREA_RCPTDE	GNRL_RNK1_ETC_GG_ENDDE	GNRL_RNK1_ETC_GG_RCPTDE	GNRL_RNK2_CRSPAREA_ENDDE	GNRL_RNK2_CRSPAREA_RCPTDE	GNRL_RNK2_ETC_AREA_ENDDE	GNRL_RNK2_ETC_AREA_RCPTDE	GNRL_RNK2_ETC_GG_ENDDE	GNRL_RNK2_ETC_GG_RCPTDE	HMPG_ADRES	HOUSE_DTL_SECD	HOUSE_DTL_SECD_NM	HOUSE_MANAGE_NO	HOUSE_NM	HOUSE_SECD	HOUSE_SECD_NM	HSSPLY_ADRES	HSSPLY_ZIP	IMPRMN_BSNS_AT	LRSCL_BLDLND_AT	MDAT_TRGET_AREA_SECD	MDHS_TELNO	MVN_PREARNGE_YM	NPLN_PRVOPR_PUBLIC_HOUSE_AT	PARCPRC_ULS_AT	PBLANC_NO	PBLANC_URL	PRZWNER_PRESNATN_DE	PUBLIC_HOUSE_EARTH_AT	PUBLIC_HOUSE_SPCLW_APPLC_AT	RCEPT_BGNDE	RCEPT_ENDDE	RCRIT_PBLANC_DE	RENT_SECD	RENT_SECD_NM	SPECLT_RDN_EARTH_AT	SPSPLY_RCEPT_BGNDE	SPSPLY_RCEPT_ENDDE	SUBSCRPT_AREA_CODE	SUBSCRPT_AREA_CODE_NM	TOT_SUPLY_HSHLDCO	SEARCH_HOUSE_SECD	SUBSCRPT_RCEPT_BGNDE	SUBSCRPT_RCEPT_ENDDE	GNRL_RCEPT_BGNDE	GNRL_RCEPT_ENDDE	HOUSE_DETAIL_SECD	HOUSE_DETAIL_SECD_NM
한국토지주택공사 경기남부지역본부	극동건설주식회사	2025-05-13	2025-05-16	2025-01-14	2025-01-13	2025-01-14	2025-01-13			2025-01-16	2025-01-15	2025-01-16	2025-01-15			https://apply.lh.or.kr	3	국민	2024820019	성남금토 A-4블록 신혼희망타운(공공분양)(본청약)	10	신혼희망타운	경기도 성남시 수정구 금토동 일원 성남금토 공공주택지구 내 A-4블록	13453	N	N	N	3180777989	202711	N	Y	2024820019	https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024820019&pblancNo=2024820019	2025-01-24	Y	Y	2025-01-13	2025-01-16	2024-12-31	0	분양주택	N			410	경기	766							
한국자산신탁(주)	(주)태영건설	2025-02-03	2025-02-05	2025-01-14	2025-01-14	2025-01-14	2025-01-14			2025-01-15	2025-01-15	2025-01-15	2025-01-15			http://더팰리스트데시앙.com	1	민영	2024000715	더 팰리스트 데시앙	1	APT	대구광역시 동구 신천동 481-1번지 외 16필지	41246	N	N	N	15513355	202510	N	N	2024000715	https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000715&pblancNo=2024000715	2025-01-21	N	N	2025-01-13	2025-01-15	2024-12-31	0	분양주택	N	2025-01-13	2025-01-13	700	대구	418							
한국토지주택공사 경기남부지역본부	양우종합건설 주식회사	2025-05-22	2025-05-27	2025-01-16	2025-01-15	2025-01-16	2025-01-15			2025-01-17	2025-01-17	2025-01-17	2025-01-17			https://apply.lh.or.kr/	3	국민	2024820018	의왕청계2 A1블록 신혼희망타운(공공분양)(본청약)	10	신혼희망타운	"경기도 의왕시 청계동, 포일동 일원 의왕청계2 공공주택지구 내 A1블록"	16013	N	N	N	312508181	202804	N	Y	2024820018	https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024820018&pblancNo=2024820018	2025-01-24	Y	Y	2025-01-15	2025-01-17	2024-12-30	0	분양주택	N			410	경기	320							
강화지역주택조합	㈜서희건설	2025-01-31	2025-02-04	2025-01-10	2025-01-10	2025-01-10	2025-01-10			2025-01-13	2025-01-13	2025-01-13	2025-01-13			https://www.gh-starhills.com	1	민영	2024000661	인천강화서희스타힐스 1단지(조합원 취소세대)	1	APT	인천광역시 강화군 선원면 창리456번지 일원	23041	N	N	N	329337019	202502	N	N	2024000661	https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000661&pblancNo=2024000661	2025-01-17	N	N	2025-01-09	2025-01-13	2024-12-30	0	분양주택	N	2025-01-09	2025-01-09	400	인천	17							
디아이건설주식회사	대방산업개발 주식회사	2025-02-03	2025-02-05	2025-01-09	2025-01-09	2025-01-09	2025-01-09			2025-01-10	2025-01-10	2025-01-10	2025-01-10			https://www.elium-eco.co.kr/	1	민영	2024000704	부산에코델타시티 대방 엘리움 리버뷰	1	APT	부산광역시 강서구 에코델타시티 공동주택용지 31BL	46716	N	N	N	16888010	202710	N	Y	2024000704	https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000704&pblancNo=2024000704	2025-01-16	N	N	2025-01-08	2025-01-10	2024-12-27	0	분양주택	N	2025-01-08	2025-01-08	600	부산	470							
광문개발(주)	양우종합건설주식회사	2025-01-24	2025-01-26	2025-01-06	2025-01-06	2025-01-06	2025-01-06			2025-01-07	2025-01-07	2025-01-07	2025-01-07			http://www.두정역양우내안애.com	1	민영	2024000726	천안 두정역 양우내안애 퍼스트로	1	APT	충청남도 천안시 서북구 두정동 393-11번지 일원	31112	N	N	N	15995200	202712	N	N	2024000726	https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000726&pblancNo=2024000726	2025-01-13	N	N	2025-01-03	2025-01-07	2024-12-24	0	분양주택	N	2025-01-03	2025-01-03	312	충남	416							
교보자산신탁(주)		2025-01-24	2025-01-31													https://www.장위아트포레.com	1	도시형생활주택	2024950095	상월곡역 장위아트포레(도시형생활주택)	2	도시형/오피스텔/생활숙박시설/민간임대	서울특별시 성북구 석관동 338-18	2791				29660988	202505			2024950095	https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950095&pblancNo=2024950095&houseSecd=02	2025-01-13					2024-12-27								5	201	2025-01-06	2025-01-08				
(주)무궁화신탁		2025-01-14	2025-01-14													https://xi.co.kr/pangyo-office	2	오피스텔	2024950094	판교밸리자이 3단지 오피스텔	2	도시형/오피스텔/생활숙박시설/민간임대	경기도 성남시 수정구 대왕판교로 961	13106				15338178	202503			2024950094	https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950094&pblancNo=2024950094&houseSecd=02	2025-01-10					2024-12-27								3	202	2025-01-07	2025-01-07				
(주)무궁화신탁		2025-01-14	2025-01-14													https://xi.co.kr/pangyo-office	2	오피스텔	2024950094	판교밸리자이 3단지 오피스텔	2	도시형/오피스텔/생활숙박시설/민간임대	경기도 성남시 수정구 대왕판교로 961	13106				15338178	202503			2024950094	https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950094&pblancNo=2024950094&houseSecd=02	2025-01-10					2024-12-27								3	202	2025-01-07	2025-01-07				
교보자산신탁(주)		2025-01-24	2025-01-31													https://www.장위아트포레.com	1	도시형생활주택	2024950095	상월곡역 장위아트포레(도시형생활주택)	2	도시형/오피스텔/생활숙박시설/민간임대	서울특별시 성북구 석관동 338-18	2791				29660988	202505			2024950095	https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950095&pblancNo=2024950095&houseSecd=02	2025-01-13					2024-12-27								5	201	2025-01-06	2025-01-08				
