sentence,category
"[금융기관 이름: '우리은행'], [금융 상품 이름: '우리전세론(주택금융보증)'], [가입 방법: '영업점,모집인'], [대출 부대 비용: '- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 주택신보출연료 : 0.22 ~ 0.26%
- 주택신보보증료 : 연 0.02 ~ 연 0.20%'], [중도상환수수료: '#NAME?'], [연체 이자율: '- 적용금리 + 3%
 (최고연체이자율 : 12%)'], [대출 한도: '최대4.4억원'], [공시 시작일: '20241220'], [공시 종료일: '20251219.0']",2
"[금융기관 이름: '우리은행'], [금융 상품 이름: '우리전세론(서울보증)'], [가입 방법: '영업점,모집인'], [대출 부대 비용: '- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 주택신보출연료 : 0.22%
- 질권설정, 채권양도통지 비용 : 3만원'], [중도상환수수료: '#NAME?'], [연체 이자율: '- 적용금리 + 3%
 (최고연체이자율 : 12%)'], [대출 한도: '최대5억원'], [공시 시작일: '20241220'], [공시 종료일: '20251219.0']",2
"[금융기관 이름: '한국스탠다드차타드은행'], [금융 상품 이름: '전세담보대출'], [가입 방법: '영업점,스마트폰'], [대출 부대 비용: '인지세 : 해당세액의 50% (대출금액 5천만원 이하 시 없음)'], [중도상환수수료: '중도상환금액× 0.7%× (대출잔여일수 ÷ 대출기간 총일수)'], [연체 이자율: '대출금리 + 연 3%
(최고 연체이자율 : 연 15%)'], [대출 한도: '최대 5억원'], [공시 시작일: '20241218'], [공시 종료일: 'nan']",2
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: 'DGB 전세자금대출'], [가입 방법: '영업점,모집인'], [대출 부대 비용: '1. 인지세 : 해당세액의 50%
2. 주택금융보증료 : 연 0.12% ~ 0.40%'], [중도상환수수료: '중도상환금액x0.9%x(대출잔여일수 ÷ 3년)'], [연체 이자율: '○ 대출이자율 + 3.0%
○ 최고 연체이자율: 15.0%'], [대출 한도: '440백만원'], [공시 시작일: '20241220'], [공시 종료일: '20250131.0']",2
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: '무방문전세자금대출(주택금융공사)'], [가입 방법: '스마트폰'], [대출 부대 비용: '1. 인지세 : 해당세액의 50%
2. 질권설정통지수수료 :30,000원'], [중도상환수수료: '중도상환금액x0.9%x(대출잔여일수 ÷ 3년)'], [연체 이자율: '○ 대출이자율 + 3.0%
○ 최고 연체이자율: 15.0%'], [대출 한도: '220백만원'], [공시 시작일: '20241220'], [공시 종료일: '20250131.0']",2
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: 'DGB POWER 전세보증대출'], [가입 방법: '영업점,모집인'], [대출 부대 비용: '1. 인지세 : 해당세액의 50%
2. 질권설정통지수수료 :30,000원'], [중도상환수수료: '중도상환금액x0.9%x(대출잔여일수 ÷ 3년)'], [연체 이자율: '○ 대출이자율 + 3.0%
○ 최고 연체이자율: 15.0%'], [대출 한도: '500백만원'], [공시 시작일: '20241220'], [공시 종료일: '20250131.0']",2
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: '무방문전세자금대출'], [가입 방법: '스마트폰'], [대출 부대 비용: '1. 인지세 : 해당세액의 50%
2. 질권설정통지수수료 :30,000원'], [중도상환수수료: '중도상환금액x0.9%x(대출잔여일수 ÷ 3년)'], [연체 이자율: '○ 대출이자율 + 3.0%
○ 최고 연체이자율: 15.0%'], [대출 한도: '500백만원'], [공시 시작일: '20241220'], [공시 종료일: '20250131.0']",2
"[금융기관 이름: '부산은행'], [금융 상품 이름: 'BNK전세안심대출'], [가입 방법: '영업점,모집인'], [대출 부대 비용: '1. 인지세 : 50%
2. 보증료 : 보증금액의 0.20%'], [중도상환수수료: '중도상환금액 X 1.00% X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년'], [연체 이자율: '대출금리+3.0%
(최고 15.0%)'], [대출 한도: '최대400백만원'], [공시 시작일: '20241217'], [공시 종료일: 'nan']",2
"[금융기관 이름: '부산은행'], [금융 상품 이름: 'BNK행복스케치전세자금대출'], [가입 방법: '영업점,모집인'], [대출 부대 비용: '1. 인지세 : 50%
2. 보증료 : 보증금액의 0.20%'], [중도상환수수료: '중도상환금액 X 1.00% X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년'], [연체 이자율: '대출금리+3.0%
(최고 15.0%)'], [대출 한도: '최대222백만원'], [공시 시작일: '20241217'], [공시 종료일: 'nan']",2
"[금융기관 이름: '부산은행'], [금융 상품 이름: 'BNK프리미엄전세자금대출'], [가입 방법: '영업점,모집인'], [대출 부대 비용: '1. 인지세 : 50%
2. 질권설정통지비용 : 30,000원'], [중도상환수수료: '중도상환금액 X 1.00% X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년'], [연체 이자율: '대출금리+3.0%
(최고 15.0%)'], [대출 한도: '최대500백만원'], [공시 시작일: '20241217'], [공시 종료일: 'nan']",2
"[금융기관 이름: '광주은행'], [금융 상품 이름: '청년맞춤형 전월세보증금 대출'], [가입 방법: '영업점,스마트폰'], [대출 부대 비용: '1. 인지대 : 50%
2. 한국주택금융공사 보증료'], [중도상환수수료: '면제'], [연체 이자율: '적용금리 + 3% (최고 15%)'], [대출 한도: '2억원'], [공시 시작일: '20241220'], [공시 종료일: '20250131.0']",2
"[금융기관 이름: '광주은행'], [금융 상품 이름: 'KJB모바일 전세대출(한국주택금융공사)'], [가입 방법: '스마트폰'], [대출 부대 비용: '1. 인지대 : 50%
2. 한국주택금융공사 보증료'], [중도상환수수료: '중도상환대출금액 × 중도상환수수료율(0.6%) × (잔여대출기간 ÷ 대출약정기간)'], [연체 이자율: '적용금리 + 3% (최고 15%)'], [대출 한도: '222백만원'], [공시 시작일: '20241220'], [공시 종료일: '20250131.0']",2
