sentence,category
"[금융기관 이름: '우리은행'], [금융 상품 이름: '우리아파트론'], [가입 방법: '영업점,모집인'], [대출 부대 비용: '- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
- 주택신보출연료(신규 주택구입시에 한함) : 0.01~0.26%'], [중도상환수수료: '#NAME?'], [연체 이자율: '- 적용금리+ 3%
(최고연체이자율 : 12%)'], [대출 한도: 'LTV 30% ~70%'], [공시 시작일: '20241220'], [공시 종료일: '20251219.0']",4
"[금융기관 이름: '우리은행'], [금융 상품 이름: '우리부동산론'], [가입 방법: '영업점,모집인'], [대출 부대 비용: '- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
- 주택신보출연료(신규 주택구입시에 한함) : 0.01~0.26%'], [중도상환수수료: '#NAME?'], [연체 이자율: '- 적용금리+ 3%
(최고연체이자율 : 12%)'], [대출 한도: 'LTV 30% ~70%'], [공시 시작일: '20241220'], [공시 종료일: '20251219.0']",4
"[금융기관 이름: '한국스탠다드차타드은행'], [금융 상품 이름: '주택담보대출'], [가입 방법: '영업점'], [대출 부대 비용: '인지세 : 해당세액의 50% (대출금액 5천만원 이하 시 없음)
국민주택채권 매입 : 대출금액 * 110% * 1% * 채권할인율
화재보험료 : 아파트 및 주거용 오피스텔 외 물건지에 한함'], [중도상환수수료: '조기상환원금 × 1.2% × [(3년-대출경과일수) / 3년]
매년 대출잔액의 10% 까지 중도상환수수료 면제'], [연체 이자율: '대출금리 + 연 3%
(최고 연체이자율 : 연 15%)'], [대출 한도: 'LTV 최대 80%
최대 대출한도 : 1,500백만원'], [공시 시작일: '20241218'], [공시 종료일: 'nan']",4
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: '장기모기지론(생활)'], [가입 방법: '영업점,모집인'], [대출 부대 비용: '1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율'], [중도상환수수료: '중도상환수수료×1.3%×(3년-대출경과일수)÷3년(일수)'], [연체 이자율: '○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%'], [대출 한도: '담보인정비율(LTV) 70%'], [공시 시작일: '20241220'], [공시 종료일: '20250131.0']",4
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: 'IM주택담보대출_변동금리(생활)'], [가입 방법: '스마트폰'], [대출 부대 비용: '1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율'], [중도상환수수료: '중도상환수수료×1.3%×(3년-대출경과일수)÷3년(일수)'], [연체 이자율: '○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%'], [대출 한도: '담보인정비율(LTV) 70%'], [공시 시작일: '20241220'], [공시 종료일: '20250131.0']",4
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: 'HYBRID 모기지론(생활)'], [가입 방법: '영업점,모집인'], [대출 부대 비용: '1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율'], [중도상환수수료: '중도상환수수료×1.5%×(3년-대출경과일수)÷3년(일수)'], [연체 이자율: '○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%'], [대출 한도: '담보인정비율(LTV) 70%'], [공시 시작일: '20241220'], [공시 종료일: '20250131.0']",4
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: 'IM주택담보대출_고정금리(생활)'], [가입 방법: '스마트폰'], [대출 부대 비용: '1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율'], [중도상환수수료: '중도상환수수료×1.5%×(3년-대출경과일수)÷3년(일수)'], [연체 이자율: '○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%'], [대출 한도: '담보인정비율(LTV) 70%'], [공시 시작일: '20241220'], [공시 종료일: '20250131.0']",4
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: '장기모기지론(구입)'], [가입 방법: '영업점,모집인'], [대출 부대 비용: '1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율'], [중도상환수수료: '중도상환수수료×1.3%×(3년-대출경과일수)÷3년(일수)'], [연체 이자율: '○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%'], [대출 한도: '담보인정비율(LTV) 70%'], [공시 시작일: '20241220'], [공시 종료일: '20250131.0']",4
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: 'IM주택담보대출_변동금리(구입)'], [가입 방법: '스마트폰'], [대출 부대 비용: '1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율'], [중도상환수수료: '중도상환수수료×1.3%×(3년-대출경과일수)÷3년(일수)'], [연체 이자율: '○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%'], [대출 한도: '담보인정비율(LTV) 70%'], [공시 시작일: '20241220'], [공시 종료일: '20250131.0']",4
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: 'HYBRID 모기지론(구입)'], [가입 방법: '영업점,모집인'], [대출 부대 비용: '1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율'], [중도상환수수료: '중도상환수수료×1.5%×(3년-대출경과일수)÷3년(일수)'], [연체 이자율: '○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%'], [대출 한도: '담보인정비율(LTV) 70%'], [공시 시작일: '20241220'], [공시 종료일: '20250131.0']",4
