sentence,category
"[금융기관 이름: '우리은행'], [금융 상품 이름: 'WON플러스예금'], [가입 방법: '인터넷,스마트폰,전화(텔레뱅킹)'], [만기 후 이자율 조건: '만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리'], [특별 조건: '해당사항 없음'], [가입 대상: '실명의 개인'], [기타 유의사항: '- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '한국스탠다드차타드은행'], [금융 상품 이름: 'e-그린세이브예금'], [가입 방법: '인터넷,스마트폰'], [만기 후 이자율 조건: '만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10%'], [특별 조건: '1.SC제일은행 최초 거래 신규고객에 대하여 우대 이율을 제공함 (보너스이율0.2%)                     2.SC제일마이백통장에서 출금하여 이 예금을 신규하는경우에 보너스이율을 제공함
(가입기간:1년제/ 보너스이율:0.1% / 만기해약하는 경우에 한해 보너스이율을 적용함)'], [가입 대상: '개인(개인사업자 포함)'], [기타 유의사항: '디지털채널 전용상품 (인터넷, 모바일뱅킹)'], [공시 시작일: '20241220'], [공시 종료일: '99991231.0']",1
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: 'iM주거래우대예금(첫만남고객형)'], [가입 방법: '영업점,인터넷,스마트폰'], [만기 후 이자율 조건: '만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25%
만기 후 3개월 이상 경과 : 약정이자율 x 10%'], [특별 조건: '* 최고우대금리 : 연0.65%p
 - 목돈굴리기예금 최초 가입시 : 연0.20%p
 - 상품 가입 전 최근 1개월 이내 신용(체크)카드 신규 발급 : 연0.20%p
 - 상품 가입 전 최근 1개월 이내 인터넷.폰.모바일앱뱅킹 가입 : 연0.20%p
 * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p'], [가입 대상: '실명의 개인'], [기타 유의사항: '계좌당 가입 최저한도 : 100만원'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: 'iM행복파트너예금(일반형)'], [가입 방법: '영업점,인터넷,스마트폰'], [만기 후 이자율 조건: '만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25%
만기 후 3개월 이상 경과 : 약정이자율 x 10%'], [특별 조건: '* 최고우대금리 : 연0.45%p
- 지난달 당행 통장으로 연금 입금 실적 보유 : 연0.10%p
- 상품 가입 전 당행 신용(체크)카드 보유 : 연0.10%p
- 지난 3개월 예금 평잔 30만원 이상 : 연0.10%p
- iM행복파트너적금 동시 가입 및 만기 보유 : 연0.10%p
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p'], [가입 대상: '만50세 이상 실명의 개인'], [기타 유의사항: '계좌당 가입 최저한도 : 100만원'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: 'iM함께예금'], [가입 방법: '영업점,인터넷,스마트폰'], [만기 후 이자율 조건: '만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25%
만기 후 3개월 이상 경과 : 약정이자율 x 10%'], [특별 조건: '* 최고우대금리 : 연0.45%p - 전월 총 수신 평잔실적 또는 상품 가입 전 첫만남플러스 통장 보유시 - 당행 주택청약상품보유 - 신규일 ""iM함께적금"" 동시 가입 및 만기 보유 -당행 오픈뱅킹서비스에 다른 은행 계좌 등록시 각  연0.10%p
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 시 : 연0.05%p'], [가입 대상: '실명의 개인 및 개인사업자'], [기타 유의사항: '계좌당 가입 최저한도 : 100만원'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '아이엠뱅크'], [금융 상품 이름: 'iM스마트예금'], [가입 방법: '인터넷,스마트폰'], [만기 후 이자율 조건: '만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25%
만기 후 3개월 이상 경과 : 약정이자율 x 10%'], [특별 조건: '* 최고우대금리 : 연0.25%p
- 가입일(재예치일)로부터 3개월 이내 아래 1가지 이상 요건 충족시
① 당행 주택청약종합저축 보유
② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준)
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p'], [가입 대상: '실명의 개인'], [기타 유의사항: '계좌당 가입 최저한도 : 100만원'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '부산은행'], [금융 상품 이름: 'LIVE정기예금'], [가입 방법: '영업점,인터넷'], [만기 후 이자율 조건: '- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%'], [특별 조건: '*우대이율
가. 3~5개월 특판우대이율 : 0.50%
나. 6~11개월 특판 우대이율: 0.40%
다. 12개월 특판 우대이율 : 0.30%'], [가입 대상: '제한없음'], [기타 유의사항: '1. 가입금액 :
   1천만원 이상
2. 가입기간 :
1개월 이상 60개월 이하(일단위)
3. 월이자지급식/만기일시지급식'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '부산은행'], [금융 상품 이름: '더(The) 특판 정기예금'], [가입 방법: '인터넷,스마트폰'], [만기 후 이자율 조건: '- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%'], [특별 조건: '* 우대이율 (최대 0.45%p)
가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p
나. 이벤트 우대이율 : 최대 0.35%p
1) 더(The) 특판 정기예금 신규고객 우대이율 : 0.20%p
2) 특판 우대이율 : 0.15%p'], [가입 대상: '실명의 개인'], [기타 유의사항: '1. 가입금액 : 1백만원 이상 제한없음 (원단위)
2. 가입기간 : 1개월, 3개월, 6개월, 1년, 2년, 3년
3. 이자지급방식 : 만기일시지급식'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '부산은행'], [금융 상품 이름: '더(The) 레벨업 정기예금'], [가입 방법: '스마트폰'], [만기 후 이자율 조건: '- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%'], [특별 조건: '*우대이율(최대 0.20%p)
가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p
나. 비대면 정기예금 재예치 우대이율  : 0.10%'], [가입 대상: '실명의 개인'], [기타 유의사항: '1. 가입금액 : 1백만원 이상 제한없음 (원단위)
2. 가입기간 : 6개월, 1년
3. 이자지급방식 : 만기일시지급식'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '광주은행'], [금융 상품 이름: '미즈월복리정기예금'], [가입 방법: '영업점,인터넷,스마트폰,기타'], [만기 후 이자율 조건: '*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2
*만기후 1개월 초과: 0.01%'], [특별 조건: '▶ 최고우대금리 0.2%
 ① 요구불평잔 : 0.2% -300만원이상 0.1%, 500만원이상 0.2%
 ② 신용(체크)카드결제실적 : 0.1% -전월결제금 300만원이상 0.05%, 500만원이상 0.1%'], [가입 대상: '만18세이상 여성으로 실명의 개인 및 개인사업자'], [기타 유의사항: '1. 가입기간 : 1년이상 3년제
2. 가입금액 : 5백만원이상 최고 50백만원'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '광주은행'], [금융 상품 이름: '스마트모아Dream정기예금'], [가입 방법: '인터넷,스마트폰'], [만기 후 이자율 조건: '*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2
*만기후 1개월 초과: 0.01%'], [특별 조건: '▶ 1천만원 이상 가입시 최대 0.2%우대'], [가입 대상: '개인 및 개인사업자'], [기타 유의사항: '1. 가입기간 : 1개월이상 3년제
2. 최소가입금액 : 100만원이상'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '광주은행'], [금융 상품 이름: '굿스타트예금'], [가입 방법: '스마트폰'], [만기 후 이자율 조건: '*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2
*만기후 1개월 초과: 0.01%'], [특별 조건: '▶ 최고우대금리 0.5%
 ① 첫예금거래 : 0.4% -최근1년동안 정기예금 계좌 신규 또는 해지이력이 없는경우
 ② 개인(신용)정보 수집이용동의 : 0.1% -만기일전일까지 유지시'], [가입 대상: '개인 및 개인사업자'], [기타 유의사항: '1. 가입기간 : 1년제
2. 가입금액 : 1백만원이상 최고 1억원(1인1계좌)'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '광주은행'], [금융 상품 이름: 'The플러스예금'], [가입 방법: '영업점,스마트폰'], [만기 후 이자율 조건: '*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2
*만기후 1개월 초과: 0.01%'], [특별 조건: '▶ 해당사항없음'], [가입 대상: '개인 및 법인(단,국가 지자체 및 금융기관 제외)'], [기타 유의사항: '1. 가입기간 : 3개월,6개월,1년제
2. 가입금액 : 10백만원이상 고객당 10억원한도'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '제주은행'], [금융 상품 이름: '제주Dream
정기예금
(개인/만기
지급식)'], [가입 방법: '영업점,인터넷,스마트폰'], [만기 후 이자율 조건: '- 만기후 1개월 이내 : (일반)정기예금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기예금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1%'], [특별 조건: '최고 연 0.1%p(항목별 0.1%p)
①급여이체
②적립식예금 잔액 10만원 이상 보유
③탑스, 주거래 고객
④결제계좌(가맹점) 전월 입금액 10만원 이상
⑤비과세종합저축 대상 고객
⑥다자녀(3인이상 자녀)가정
⑦탐나는 J연금통장 가입고객
⑧국민연금안심통장 가입고객
⑨공무원연금안심통장 가입고객'], [가입 대상: '제한없음'], [기타 유의사항: '가입금액 : 1백만원 이상'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '제주은행'], [금융 상품 이름: 'J정기예금
(만기지급식)'], [가입 방법: '영업점,인터넷,스마트폰'], [만기 후 이자율 조건: '- 만기후 1개월 이내 : (일반)정기예금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기예금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1%'], [특별 조건: '- 아래의 우대요건 충족시 최고 0.5%p 추가 우대
①비대면 채널 가입시 0.3%제공(신규시제공)
(단, 이벤트시 디지털 채널에 고시한 우대금리를 추가 적용할 수 있음)
②신규일로부터 만기달 제외한 계약기간의 1/2이상 매월 Jbank로그인 시 0.2%제공(만기시제공)'], [가입 대상: '실명의
개인 및
개인사업자'], [기타 유의사항: '가입금액 : 30만원 이상'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '전북은행'], [금융 상품 이름: 'JB 다이렉트예금통장
(만기일시지급식)'], [가입 방법: '인터넷,스마트폰'], [만기 후 이자율 조건: '만기후 1개월 이하 : 만기일 현재 계약기간별 정기예금 실행이율 1/2
만기후 1개월 초과 : 연 0.01%'], [특별 조건: '우대조건
없음'], [가입 대상: '실명의 개인(임의단체 제외'], [기타 유의사항: '가입금액 1계좌당 1백만원이상 10억원이하,
1인당  총 10억원 이하,
인터넷/스마트폰뱅킹 가입상품'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '전북은행'], [금융 상품 이름: 'JB 123 정기예금
 (만기일시지급식)'], [가입 방법: '인터넷,스마트폰'], [만기 후 이자율 조건: '만기후 1개월 이하 : 만기일 현재 계약기간별 정기예금 실행이율 1/2
만기후 1개월 초과 : 연 0.01%'], [특별 조건: '자동재예치 우대이율
1회차 0.1%,
2회차 0.2%,
3회차 0.3%
12개월:첫거래고객
0.25%, 마케팅동의고객 0.05%(~12/31일까지)단,가입후
최초 1년동안에 한하여 제공'], [가입 대상: '실명의 개인 또는 개인사업자 (1인 다계좌 가입 가능함)'], [기타 유의사항: '예금의 신규 : 인터넷뱅킹, 모바일뱅킹, 모바일웹, BDT
예금의 해지 : 인터넷뱅킹, 모바일뱅킹, 영업점
가입금액 최저 1백만원이상 고객별 5억원 이상 (다만 자동재예치시 이자 원가로 인한 5억원 초과는 가능), 계좌수 관계없이 가입가능'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '경남은행'], [금융 상품 이름: 'BNK더조은정기예금'], [가입 방법: '인터넷,스마트폰'], [만기 후 이자율 조건: '만기 후 1개월 이내: 일반정기예금 기본이율 Ⅹ50%
만기 후 1개월 초과: 일반정기예금 기본이율 Ⅹ20%'], [특별 조건: '①가입금액 20백만원 이상인 경우 0.20%
②이 예금 신규시 금리우대쿠폰 등록할 경우 0.20%
③ 경남은행 오픈뱅킹 서비스에 가입되어 있는 경우
(만기시까지 해당서비스 유지하는 경우) 0.10%
④ 자동재예치 신청 0.05%
(단 금리우대쿠폰과 중복적용 불가)'], [가입 대상: '거래대상자는 제한을 두지 아니한다. 다만, 국가 및 지방자치단체는 이 예금을 거래할 수 없다.'], [기타 유의사항: '1. 이 예금의 계약기간은 3개월 이상 2년 이내 월단위로 한다.
2. 가입금액은 1인당 최소 100만원 이상 5억원 이하이다.'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '경남은행'], [금융 상품 이름: 'BNK주거래우대정기예금'], [가입 방법: '인터넷,스마트폰'], [만기 후 이자율 조건: '만기 후 1개월 이내: 일반정기예금 기본이율 Ⅹ50%
만기 후 1개월 초과: 일반정기예금 기본이율 Ⅹ20%'], [특별 조건: '①급여,연금,가맹점대금 중 한 종류 입금할 경우 0.10%
②당행 신용/체크카드 결제실적 보유할 경우 0.10%
③가입일 기준 6개월이내 당행 정기예금 미보유 신규 고객인 경우 0.10%'], [가입 대상: '개인 및 개인사업자'], [기타 유의사항: '1. 이 예금의 계약기간은 6개월, 1년, 2년으로 한다.
2. 가입좌수 제한없으며 가입금액은 최소 1백만원 이상 최고 5억원 이하이다.'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
"[금융기관 이름: '중소기업은행'], [금융 상품 이름: 'IBK평생한가족통장(실세금리정기예금)'], [가입 방법: '영업점,인터넷,스마트폰'], [만기 후 이자율 조건: '만기일 당시 정기예금 만기후 이자율 적용 -1개월 이내: 만기일 당시 계약기간별 고시금리×50% -1월 초과 6개월 이내: 만기일 당시 계약기간별 고시금리×30% -6개월 초과: 만기일 당시 계약기간별 고시금리×20%'], [특별 조건: '최고 연 0.20%p

-고객별 우대 : 최고 연 0.05%p
 1. 최초신규고객 : 연 0.05%p
 2. 재예치고객 : 연 0.05%p
 3. 장기거래고객 : 연 0.05%p

-주거래우대 : 연 0.15%p'], [가입 대상: '실명의 개인
(개인사업자 제외)'], [기타 유의사항: '계좌 수 제한 없으며, 최소 1백만원 이상 통합한도 1억원 이내 가입 가능'], [공시 시작일: '20241220'], [공시 종료일: 'nan']",1
